
episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance
95,T,4994,0,20
92,T,4827,0,20
106,T,4975,0,20
79,T,4930,0,20
83,T,4856,0,20
92,T,4966,0,20
97,T,4969,0,20
67,T,4962,0,20
86,T,4956,0,20
107,T,4978,0,20
93,T,4980,0,20
80,T,4971,0,20
68,T,4986,0,20
69,T,4991,0,20
93,T,4951,0,20
81,T,4981,0,20
94,T,4995,0,20
94,T,4975,0,20
108,T,4969,0,20
84,T,4952,0,20
85,T,4996,0,20
98,T,4941,0,20
86,T,4987,0,20
95,T,4979,0,20
70,T,4960,0,20
82,T,4965,0,20
87,T,4983,0,20
87,T,4931,0,20
95,T,4961,0,20
88,T,4988,0,20
89,T,4994,0,20
99,T,4960,0,20
71,T,4970,0,20
90,T,4990,0,20
109,T,4938,0,20
88,T,4974,0,20
96,T,4958,0,20
100,T,4991,0,20
96,T,4963,0,20
89,T,4982,0,20
83,T,4950,0,20
90,T,4993,0,20
91,T,4968,0,20
97,T,4961,0,20
72,T,4943,0,20
92,T,4975,0,20
101,T,4938,0,20
93,T,4978,0,20
97,T,4929,0,20
94,T,4995,0,20
91,T,4941,0,20
73,T,4961,0,20
110,T,4903,0,20
98,T,4942,0,20
98,T,4984,0,20
95,T,4980,0,20
96,T,4757,0,20
99,T,4983,0,20
97,T,4985,0,20
96,T,4977,0,20
100,T,4987,0,20
74,T,4958,0,20
99,T,4955,0,20
92,T,4929,0,20
111,T,4941,0,20
75,T,4979,0,20
93,T,4988,0,20
76,T,4989,0,20
102,T,4898,0,20
101,T,4954,0,20
94,T,4991,0,20
97,T,4950,0,20
