
episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers

episode,successRate,timeRemaining,seekCount,velocity,range,numActiveSeekers
34,S,4999,0,325,2,0
47,S,4844,0,325,2,0
48,S,4999,0,325,2,0
35,S,4988,0,325,2,0
36,S,4999,0,325,2,0
49,S,4996,0,325,2,0
50,S,4999,0,325,2,0
37,S,4987,0,325,2,0
38,S,4999,0,325,2,0
51,S,4987,0,325,2,0
52,S,4999,0,325,2,0
53,S,4991,0,325,2,0
54,S,4999,0,325,2,0
55,S,4993,0,325,2,0
56,S,4999,0,325,2,0
27,S,4875,0,325,2,0
28,S,4999,0,325,2,0
39,S,4866,0,325,2,0
40,S,4999,0,325,2,0
29,S,4933,0,325,2,0
30,S,4999,0,325,2,0
21,S,4782,0,325,2,0
22,S,4999,0,325,2,0
41,S,4972,0,325,2,0
42,S,4999,0,325,2,0
43,S,4994,0,325,2,0
44,S,4999,0,325,2,0
23,S,4970,0,325,2,0
24,S,4999,0,325,2,0
45,S,4964,0,325,2,0
46,S,4999,0,325,2,0
47,S,4989,0,325,2,0
48,S,4999,0,325,2,0
25,S,4968,0,325,2,0
26,S,4999,0,325,2,0
27,S,4996,0,325,2,0
28,S,4999,0,325,2,0
49,S,4977,0,325,2,0
50,S,4999,0,325,2,0
51,S,4995,0,325,2,0
52,S,4999,0,325,2,0
31,S,4880,0,325,2,0
32,S,4999,0,325,2,0
53,S,4968,0,325,2,0
54,S,4999,0,325,2,0
29,S,4930,0,325,2,0
30,S,4999,0,325,2,0
33,S,4976,0,325,2,0
34,S,4999,0,325,2,0
55,S,4942,0,325,2,0
56,S,4999,0,325,2,0
31,S,4960,0,325,2,0
32,S,4999,0,325,2,0
33,S,4989,0,325,2,0
34,S,4999,0,325,2,0
57,S,4973,0,325,2,0
58,S,4999,0,325,2,0
35,S,4974,0,325,2,0
36,S,4999,0,325,2,0
13,S,2224,0,325,2,0
14,S,4999,0,325,2,0
37,S,4977,0,325,2,0
38,S,4999,0,325,2,0
15,S,4996,0,325,2,0
16,S,4999,0,325,2,0
59,S,4957,0,325,2,0
60,S,4999,0,325,2,0
35,S,4884,0,325,2,0
36,S,4999,0,325,2,0
17,S,4986,0,325,2,0
18,S,4999,0,325,2,0
61,S,4988,0,325,2,0
19,S,4995,0,325,2,0
62,S,4999,0,325,2,0
20,S,4999,0,325,2,0
21,S,4997,0,325,2,0
22,S,4999,0,325,2,0
23,S,4946,0,325,2,0
24,S,4999,0,325,2,0
25,S,4983,0,325,2,0
26,S,4999,0,325,2,0
27,S,4996,0,325,2,0
28,S,4999,0,325,2,0
9,S,2698,0,325,2,0
10,S,4999,0,325,2,0
29,S,4987,0,325,2,0
30,S,4999,0,325,2,0
57,S,4487,0,325,2,0
58,S,4999,0,325,2,0
11,S,4975,0,325,2,0
12,S,4999,0,325,2,0
31,S,4980,0,325,2,0
32,S,4999,0,325,2,0
13,S,4992,0,325,2,0
27,S,2952,0,325,2,0
28,S,4999,0,325,2,0
14,S,4999,0,325,2,0
39,S,4845,0,325,2,0
63,S,4865,0,325,2,0
40,S,4999,0,325,2,0
64,S,4999,0,325,2,0
33,S,4981,0,325,2,0
34,S,4999,0,325,2,0
29,S,4986,0,325,2,0
30,S,4999,0,325,2,0
35,S,4991,0,325,2,0
36,S,4999,0,325,2,0
37,S,4995,0,325,2,0
38,S,4999,0,325,2,0
59,S,4951,0,325,2,0
60,S,4999,0,325,2,0
15,S,4959,0,325,2,0
16,S,4999,0,325,2,0
39,S,4968,0,325,2,0
40,S,4999,0,325,2,0
41,S,4996,0,325,2,0
42,S,4999,0,325,2,0
43,S,4989,0,325,2,0
44,S,4999,0,325,2,0
61,S,4952,0,325,2,0
62,S,4999,0,325,2,0
37,S,4784,0,325,2,0
38,S,4999,0,325,2,0
65,S,4919,0,325,2,0
66,S,4999,0,325,2,0
67,S,4988,0,325,2,0
68,S,4999,0,325,2,0
69,S,4997,0,325,2,0
70,S,4999,0,325,2,0
39,S,4975,0,325,2,0
40,S,4999,0,325,2,0
45,S,4959,0,325,2,0
46,S,4999,0,325,2,0
41,S,4990,0,325,2,0
42,S,4999,0,325,2,0
31,S,4894,0,325,2,0
32,S,4999,0,325,2,0
43,S,4993,0,325,2,0
44,S,4999,0,325,2,0
47,S,4990,0,325,2,0
48,S,4999,0,325,2,0
33,S,4985,0,325,2,0
17,S,4905,0,325,2,0
34,S,4999,0,325,2,0
18,S,4999,0,325,2,0
41,S,4868,0,325,2,0
35,S,4997,0,325,2,0
36,S,4999,0,325,2,0
42,S,4999,0,325,2,0
19,S,4994,0,325,2,0
20,S,4999,0,325,2,0
1,S,340,0,325,2,0
21,S,2655,0,325,2,0
2,S,4999,0,325,2,0
22,S,4999,0,325,2,0
3,S,4998,0,325,2,0
4,S,4999,0,325,2,0
43,S,4980,0,325,2,0
44,S,4999,0,325,2,0
5,S,4991,0,325,2,0
6,S,4999,0,325,2,0
45,S,4992,0,325,2,0
46,S,4999,0,325,2,0
47,S,4986,0,325,2,0
45,S,4943,0,325,2,0
48,S,4999,0,325,2,0
46,S,4999,0,325,2,0
21,S,4957,0,325,2,0
22,S,4999,0,325,2,0
7,S,4982,0,325,2,0
8,S,4999,0,325,2,0
37,S,4950,0,325,2,0
38,S,4999,0,325,2,0
71,S,4915,0,325,2,0
72,S,4999,0,325,2,0
63,S,4884,0,325,2,0
64,S,4999,0,325,2,0
9,S,4992,0,325,2,0
10,S,4999,0,325,2,0
23,S,4990,0,325,2,0
24,S,4999,0,325,2,0
25,S,4996,0,325,2,0
26,S,4999,0,325,2,0
27,S,4996,0,325,2,0
28,S,4999,0,325,2,0
39,S,4983,0,325,2,0
40,S,4999,0,325,2,0
47,S,4972,0,325,2,0
48,S,4999,0,325,2,0
23,S,4940,0,325,2,0
24,S,4999,0,325,2,0
49,S,4967,0,325,2,0
50,S,4999,0,325,2,0
29,S,4984,0,325,2,0
